fiscal_year,fund,department,class,total
2026,General Fund,Fleet Services -Vehicle Lease/Purch.,"Materials, Supplies & Equip.",16359245
2026,General Fund,Free Library,Personal Services,62094315
2026,General Fund,Free Library,Purchase of Services,4224722
2026,General Fund,Free Library,"Materials, Supplies & Equip.",8345551
2026,General Fund,Free Library,"Contrib., Indemnities & Taxes",0
2026,General Fund,Human Relations Commission,Personal Services,2825926
2026,General Fund,Human Relations Commission,Purchase of Services,66901
2026,General Fund,Human Relations Commission,"Materials, Supplies & Equip.",28031
2026,General Fund,Human Services,Personal Services,36733759
2026,General Fund,Human Services,Purchase of Services,190873006
2026,General Fund,Human Services,"Materials, Supplies & Equip.",1865136
2026,General Fund,Human Services,"Contrib., Indemnities & Taxes",0
2026,General Fund,Labor,Personal Services,4309944
2026,General Fund,Labor,Purchase of Services,1415961
2026,General Fund,Labor,"Materials, Supplies & Equip.",21420
2026,General Fund,Law,Personal Services,22302432
2026,General Fund,Law,Purchase of Services,14193145
2026,General Fund,Law,"Materials, Supplies & Equip.",184676
2026,General Fund,Law,"Contrib., Indemnities & Taxes",0
2026,General Fund,Licenses & Inspection,Personal Services,30761407
2026,General Fund,Licenses & Inspection,Purchase of Services,14188444
2026,General Fund,Licenses & Inspection,"Materials, Supplies & Equip.",1041475
2026,General Fund,Licenses & Inspection,"Contrib., Indemnities & Taxes",0
2026,General Fund,L&I-Board of Building Standards,Personal Services,90074
2026,General Fund,L&I-Board of L&I Review,Personal Services,176933
2026,General Fund,L&I-Board of L&I Review,Purchase of Services,10436
2026,General Fund,Managing Director,Personal Services,36508162
2026,General Fund,Managing Director,Purchase of Services,64357107
2026,General Fund,Managing Director,"Materials, Supplies & Equip.",5483732
2026,General Fund,Managing Director,"Contrib., Indemnities & Taxes",0
2026,General Fund,Managing Director,Payments to Other Funds,350000
2026,General Fund,Managing Director-Defenders Association,Purchase of Services,69047780
2026,General Fund,Managing Director-Citizens Police Oversight Commission,Personal Services,0
2026,General Fund,Managing Director-Citizens Police Oversight Commission,Purchase of Services,0
2026,General Fund,Managing Director-Citizens Police Oversight Commission,"Materials, Supplies & Equip.",0
2026,General Fund,Managing Director-Clean & Green,Personal Services,0
2026,General Fund,Managing Director-Clean & Green,Purchase of Services,0
2026,General Fund,Managing Director-Clean & Green,"Materials, Supplies & Equip.",0
2026,General Fund,Managing Director-Public Safety,Personal Services,0
2026,General Fund,Managing Director-Public Safety,Purchase of Services,0
2026,General Fund,Managing Director-Public Safety,"Materials, Supplies & Equip.",0
2026,General Fund,Mayor's Office,Personal Services,12198513
2026,General Fund,Mayor's Office,Purchase of Services,1447150
2026,General Fund,Mayor's Office,"Materials, Supplies & Equip.",170911
2026,General Fund,Mayor's Office,"Contrib., Indemnities & Taxes",0
2026,General Fund,Neighborhood Community Action Centers,Personal Services,2585304
2026,General Fund,Neighborhood Community Action Centers,Purchase of Services,624300
2026,General Fund,Neighborhood Community Action Centers,"Materials, Supplies & Equip.",100000
2026,General Fund,Neighborhood Community Action Centers,"Contrib., Indemnities & Taxes",0
2026,General Fund,Mural Arts Program,Personal Services,653245
2026,General Fund,Mural Arts Program,Purchase of Services,4454141
2026,General Fund,Office of Behavioral Health and Intellectual disAbility,Personal Services,3934703
2026,General Fund,Office of Behavioral Health and Intellectual disAbility,Purchase of Services,27395405
2026,General Fund,Office of Behavioral Health and Intellectual disAbility,"Materials, Supplies & Equip.",204000
2026,General Fund,Office of Behavioral Health and Intellectual disAbility,"Contrib., Indemnities & Taxes",0
