fiscal_year,fund,department,tag_peoples_budget,class,total
2027,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,260094
2027,General Fund,Fire,Emergency Services,Personal Services,395934095
2027,General Fund,Fire,Emergency Services,Purchase of Services,20360034
2027,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",31673714
2027,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2027,General Fund,Fire,Emergency Services,Payments to Other Funds,12908000
2027,General Fund,First Judicial District,Courts & the Justice System,Personal Services,127020161
2027,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,9075191
2027,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2343461
2027,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2027,General Fund,Fleet Services,Government Operations,Personal Services,24755702
2027,General Fund,Fleet Services,Government Operations,Purchase of Services,7530287
2027,General Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",28514327
2027,General Fund,Fleet Services - Vehicle Lease/Purch.,Government Operations,"Materials, Supplies & Equip.",15359245
2027,General Fund,Free Library,Libraries,Personal Services,65588857
2027,General Fund,Free Library,Libraries,Purchase of Services,4224722
2027,General Fund,Free Library,Libraries,"Materials, Supplies & Equip.",8445551
2027,General Fund,Free Library,Libraries,"Contrib., Indemnities & Taxes",0
2027,General Fund,Human Relations Commission,Government Operations,Personal Services,3105010
2027,General Fund,Human Relations Commission,Government Operations,Purchase of Services,76901
2027,General Fund,Human Relations Commission,Government Operations,"Materials, Supplies & Equip.",28031
2027,General Fund,Human Services,Youth Services,Personal Services,38313511
2027,General Fund,Human Services,Youth Services,Purchase of Services,194336763
2027,General Fund,Human Services,Youth Services,"Materials, Supplies & Equip.",1865136
2027,General Fund,Human Services,Youth Services,"Contrib., Indemnities & Taxes",0
2027,General Fund,Labor,Government Operations,Personal Services,4452926
2027,General Fund,Labor,Government Operations,Purchase of Services,890814
2027,General Fund,Labor,Government Operations,"Materials, Supplies & Equip.",21420
2027,General Fund,Law,Government Operations,Personal Services,22983668
2027,General Fund,Law,Government Operations,Purchase of Services,14693145
2027,General Fund,Law,Government Operations,"Materials, Supplies & Equip.",184676
2027,General Fund,Law,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,Licenses & Inspection,Government Operations,Personal Services,33725984
2027,General Fund,Licenses & Inspection,Government Operations,Purchase of Services,14212118
2027,General Fund,Licenses & Inspection,Government Operations,"Materials, Supplies & Equip.",2510475
2027,General Fund,Licenses & Inspection,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,L&I - Board of Building Standards,Government Operations,Personal Services,94904
2027,General Fund,L&I - Board of L&I Review,Government Operations,Personal Services,184334
2027,General Fund,L&I - Board of L&I Review,Government Operations,Purchase of Services,10436
2027,General Fund,Managing Director,Government Operations,Personal Services,37211322
2027,General Fund,Managing Director,Government Operations,Purchase of Services,71921238
2027,General Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",4530754
2027,General Fund,Managing Director,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,Managing Director,Government Operations,Payments to Other Funds,350000
2027,General Fund,Managing Director - Defenders Association,Government Operations,Purchase of Services,69047780
2027,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Personal Services,0
2027,General Fund,Managing Director - Citizens Police Oversight Commission,Government Operations,Purchase of Services,0
