fiscal_year,fund,department,class,total
2025,General Fund,Neighborhood Community Action Centers,Purchase of Services,0
2025,General Fund,Neighborhood Community Action Centers,"Materials, Supplies & Equip.",0
2025,General Fund,Neighborhood Community Action Centers,"Contrib., Indemnities & Taxes",0
2025,General Fund,Mural Arts Program,Personal Services,566756
2025,General Fund,Mural Arts Program,Purchase of Services,3554141
2025,General Fund,Office of Behavioral Health and Intellectual disAbility,Personal Services,3684008
2025,General Fund,Office of Behavioral Health and Intellectual disAbility,Purchase of Services,25233431
2025,General Fund,Office of Behavioral Health and Intellectual disAbility,"Materials, Supplies & Equip.",102159
2025,General Fund,Office of Behavioral Health and Intellectual disAbility,"Contrib., Indemnities & Taxes",950
2025,General Fund,Office of the Chief Administrative Officer,Personal Services,6754601
2025,General Fund,Office of the Chief Administrative Officer,Purchase of Services,9761151
2025,General Fund,Office of the Chief Administrative Officer,"Materials, Supplies & Equip.",43441
2025,General Fund,Office of Arts and Culture and the Creative Economy,Personal Services,714298
2025,General Fund,Office of Arts and Culture and the Creative Economy,Purchase of Services,130768
2025,General Fund,Office of Arts and Culture and the Creative Economy,"Materials, Supplies & Equip.",0
2025,General Fund,Office of Arts and Culture and the Creative Economy,"Contrib., Indemnities & Taxes",9980000
2025,General Fund,Office of Community Empowerment and Opportunity,Personal Services,2786597
2025,General Fund,Office of Community Empowerment and Opportunity,Purchase of Services,1846520
2025,General Fund,Office of Community Empowerment and Opportunity,"Materials, Supplies & Equip.",256805
2025,General Fund,Office of Education,Personal Services,670141
2025,General Fund,Office of Education,Purchase of Services,0
2025,General Fund,Office of Education,"Materials, Supplies & Equip.",0
2025,General Fund,Office of Homeless Services,Personal Services,11280708
2025,General Fund,Office of Homeless Services,Purchase of Services,73476653
2025,General Fund,Office of Homeless Services,"Materials, Supplies & Equip.",334892
2025,General Fund,Office of Homeless Services,"Contrib., Indemnities & Taxes",191134
2025,General Fund,Office of Human Resources,Personal Services,7277162
2025,General Fund,Office of Human Resources,Purchase of Services,3164378
2025,General Fund,Office of Human Resources,"Materials, Supplies & Equip.",37690
2025,General Fund,Office of Innovation and Technology,Personal Services,31870212
2025,General Fund,Office of Innovation and Technology,Purchase of Services,66852145
2025,General Fund,Office of Innovation and Technology,"Materials, Supplies & Equip.",13156557
2025,General Fund,Office of Innovation and Technology,"Contrib., Indemnities & Taxes",0
2025,General Fund,Office of Innovation and Technology,Payments to Other Funds,606451
2025,General Fund,Office of Innovation and Technology-911,Personal Services,1704914
2025,General Fund,Office of Innovation and Technology-911,Purchase of Services,15247205
2025,General Fund,Office of Innovation and Technology-911,"Materials, Supplies & Equip.",6026130
2025,General Fund,Office of the Inspector General,Personal Services,1863732
2025,General Fund,Office of the Inspector General,Purchase of Services,127327
2025,General Fund,Office of the Inspector General,"Materials, Supplies & Equip.",7873
2025,General Fund,Office of Property Assessment,Personal Services,14623282
2025,General Fund,Office of Property Assessment,Purchase of Services,1836194
2025,General Fund,Office of Property Assessment,"Materials, Supplies & Equip.",300951
2025,General Fund,Office of Public Safety,Personal Services,0
2025,General Fund,Office of Public Safety,Purchase of Services,0
2025,General Fund,Office of Public Safety,"Materials, Supplies & Equip.",0
2025,General Fund,Office of Public Safety- Office of Prison Oversight,Personal Services,0
2025,General Fund,Office of Public Safety- Office of Prison Oversight,Purchase of Services,0
2025,General Fund,Office of Public Safety- Office of Prison Oversight,"Materials, Supplies & Equip.",0
2025,General Fund,Office of Sustainability,Personal Services,1668099
2025,General Fund,Office of Sustainability,Purchase of Services,774766
2025,General Fund,Office of Sustainability,"Materials, Supplies & Equip.",1000
2025,General Fund,Office of Sustainability,"Contrib., Indemnities & Taxes",0
2025,General Fund,Office of Sustainability,Payments to Other Funds,175000
2025,General Fund,Parks and Recreation,Personal Services,65695796
2025,General Fund,Parks and Recreation,Purchase of Services,12810445
2025,General Fund,Parks and Recreation,"Materials, Supplies & Equip.",4671578
2025,General Fund,Parks and Recreation,"Contrib., Indemnities & Taxes",4309944
2025,General Fund,Parks and Recreation,Payments to Other Funds,4321865
2025,General Fund,Planning and Development,Personal Services,6480397
2025,General Fund,Planning and Development,Purchase of Services,5520104
2025,General Fund,Planning and Development,"Materials, Supplies & Equip.",113327
2025,General Fund,Planning and Development,"Contrib., Indemnities & Taxes",3000000
2025,General Fund,Police,Personal Services,797554363
2025,General Fund,Police,Purchase of Services,19318390
2025,General Fund,Police,"Materials, Supplies & Equip.",17700895
2025,General Fund,Police,"Contrib., Indemnities & Taxes",34900072
2025,General Fund,Prisons,Personal Services,147763998
2025,General Fund,Prisons,Purchase of Services,116115652
2025,General Fund,Prisons,"Materials, Supplies & Equip.",5773663
2025,General Fund,Prisons,"Contrib., Indemnities & Taxes",30904013
