fiscal_year,fund,department,class,total
FY2025 Actual,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2642000
FY2026 Adopted,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2342000
FY2026 Estimated,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2342000
FY2027 Proposed,General Fund,Art Museum,"Contrib., Indemnities & Taxes",2142000
FY2025 Actual,General Fund,Auditing (City Controller),Personal Services,10855618
FY2026 Adopted,General Fund,Auditing (City Controller),Personal Services,11007561
FY2026 Estimated,General Fund,Auditing (City Controller),Personal Services,11377564
FY2027 Proposed,General Fund,Auditing (City Controller),Personal Services,11643467
FY2025 Actual,General Fund,Auditing (City Controller),Purchase of Services,814783
FY2026 Adopted,General Fund,Auditing (City Controller),Purchase of Services,708573
FY2026 Estimated,General Fund,Auditing (City Controller),Purchase of Services,708573
FY2027 Proposed,General Fund,Auditing (City Controller),Purchase of Services,608573
FY2025 Actual,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",37800
FY2026 Adopted,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",40000
FY2026 Estimated,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",40000
FY2027 Proposed,General Fund,Auditing (City Controller),"Materials, Supplies & Equip.",40000
FY2025 Actual,General Fund,Board of Ethics,Personal Services,1239258
FY2026 Adopted,General Fund,Board of Ethics,Personal Services,1367043
FY2026 Estimated,General Fund,Board of Ethics,Personal Services,1385853
FY2027 Proposed,General Fund,Board of Ethics,Personal Services,1451997
FY2025 Actual,General Fund,Board of Ethics,Purchase of Services,42877
FY2026 Adopted,General Fund,Board of Ethics,Purchase of Services,52500
FY2026 Estimated,General Fund,Board of Ethics,Purchase of Services,52500
FY2027 Proposed,General Fund,Board of Ethics,Purchase of Services,52500
FY2025 Actual,General Fund,Board of Ethics,"Materials, Supplies & Equip.",1985
FY2026 Adopted,General Fund,Board of Ethics,"Materials, Supplies & Equip.",7500
FY2026 Estimated,General Fund,Board of Ethics,"Materials, Supplies & Equip.",7500
FY2027 Proposed,General Fund,Board of Ethics,"Materials, Supplies & Equip.",7500
FY2025 Actual,General Fund,Board of Revision of Taxes,Personal Services,1164238
FY2026 Adopted,General Fund,Board of Revision of Taxes,Personal Services,1164218
FY2026 Estimated,General Fund,Board of Revision of Taxes,Personal Services,1192803
FY2027 Proposed,General Fund,Board of Revision of Taxes,Personal Services,1180874
FY2025 Actual,General Fund,Board of Revision of Taxes,Purchase of Services,69850
FY2026 Adopted,General Fund,Board of Revision of Taxes,Purchase of Services,70681
FY2026 Estimated,General Fund,Board of Revision of Taxes,Purchase of Services,80681
FY2027 Proposed,General Fund,Board of Revision of Taxes,Purchase of Services,52681
FY2025 Actual,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",12308
FY2026 Adopted,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",17727
FY2026 Estimated,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",17727
FY2027 Proposed,General Fund,Board of Revision of Taxes,"Materials, Supplies & Equip.",17727
FY2025 Actual,General Fund,Citizens Police Oversight Commission,Personal Services,0
FY2026 Adopted,General Fund,Citizens Police Oversight Commission,Personal Services,2656030
FY2026 Estimated,General Fund,Citizens Police Oversight Commission,Personal Services,2651366
FY2027 Proposed,General Fund,Citizens Police Oversight Commission,Personal Services,2661621
FY2025 Actual,General Fund,Citizens Police Oversight Commission,Purchase of Services,0
FY2026 Adopted,General Fund,Citizens Police Oversight Commission,Purchase of Services,438002
FY2026 Estimated,General Fund,Citizens Police Oversight Commission,Purchase of Services,438002
FY2027 Proposed,General Fund,Citizens Police Oversight Commission,Purchase of Services,438002
FY2025 Actual,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",0
FY2026 Adopted,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",12000
FY2026 Estimated,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",42000
FY2027 Proposed,General Fund,Citizens Police Oversight Commission,"Materials, Supplies & Equip.",42000
FY2025 Actual,General Fund,City Commissioners,Personal Services,14089613
FY2026 Adopted,General Fund,City Commissioners,Personal Services,12190244
FY2026 Estimated,General Fund,City Commissioners,Personal Services,12737991
FY2027 Proposed,General Fund,City Commissioners,Personal Services,12831524
FY2025 Actual,General Fund,City Commissioners,Purchase of Services,18121641
FY2026 Adopted,General Fund,City Commissioners,Purchase of Services,13740101
FY2026 Estimated,General Fund,City Commissioners,Purchase of Services,14107335
FY2027 Proposed,General Fund,City Commissioners,Purchase of Services,13740101
FY2025 Actual,General Fund,City Commissioners,"Materials, Supplies & Equip.",4890868
FY2026 Adopted,General Fund,City Commissioners,"Materials, Supplies & Equip.",3183733
FY2026 Estimated,General Fund,City Commissioners,"Materials, Supplies & Equip.",5282792
FY2027 Proposed,General Fund,City Commissioners,"Materials, Supplies & Equip.",3166533
FY2025 Actual,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",1000
FY2026 Adopted,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,City Commissioners,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,City Council,Personal Services,18235179
FY2026 Adopted,General Fund,City Council,Personal Services,21268492
FY2026 Estimated,General Fund,City Council,Personal Services,21491293
FY2027 Proposed,General Fund,City Council,Personal Services,21565560
FY2025 Actual,General Fund,City Council,Purchase of Services,4027852
FY2026 Adopted,General Fund,City Council,Purchase of Services,4372979
FY2026 Estimated,General Fund,City Council,Purchase of Services,4372979
FY2027 Proposed,General Fund,City Council,Purchase of Services,4372979
FY2025 Actual,General Fund,City Council,"Materials, Supplies & Equip.",737771
FY2026 Adopted,General Fund,City Council,"Materials, Supplies & Equip.",817582
FY2026 Estimated,General Fund,City Council,"Materials, Supplies & Equip.",817582
FY2027 Proposed,General Fund,City Council,"Materials, Supplies & Equip.",817582
FY2025 Actual,General Fund,City Council,"Contrib., Indemnities & Taxes",0
FY2026 Adopted,General Fund,City Council,"Contrib., Indemnities & Taxes",100
FY2026 Estimated,General Fund,City Council,"Contrib., Indemnities & Taxes",100
FY2027 Proposed,General Fund,City Council,"Contrib., Indemnities & Taxes",100
FY2025 Actual,General Fund,City Council,Payments to Other Funds,0
FY2026 Adopted,General Fund,City Council,Payments to Other Funds,100
FY2026 Estimated,General Fund,City Council,Payments to Other Funds,100
FY2027 Proposed,General Fund,City Council,Payments to Other Funds,100
FY2025 Actual,General Fund,City Council,Advances and Other Misc. Payments,0
FY2026 Adopted,General Fund,City Council,Advances and Other Misc. Payments,100
FY2026 Estimated,General Fund,City Council,Advances and Other Misc. Payments,100
FY2027 Proposed,General Fund,City Council,Advances and Other Misc. Payments,100
FY2025 Actual,General Fund,City Representative,Personal Services,0
FY2026 Adopted,General Fund,City Representative,Personal Services,1794682
FY2026 Estimated,General Fund,City Representative,Personal Services,1863226
FY2027 Proposed,General Fund,City Representative,Personal Services,2068492
FY2025 Actual,General Fund,City Representative,Purchase of Services,0
FY2026 Adopted,General Fund,City Representative,Purchase of Services,1252500
FY2026 Estimated,General Fund,City Representative,Purchase of Services,1252500
FY2027 Proposed,General Fund,City Representative,Purchase of Services,1202500
FY2025 Actual,General Fund,City Representative,"Materials, Supplies & Equip.",0
FY2026 Adopted,General Fund,City Representative,"Materials, Supplies & Equip.",195000
FY2026 Estimated,General Fund,City Representative,"Materials, Supplies & Equip.",195000
FY2027 Proposed,General Fund,City Representative,"Materials, Supplies & Equip.",170000
FY2025 Actual,General Fund,City Treasurer,Personal Services,1879805
FY2026 Adopted,General Fund,City Treasurer,Personal Services,1966172
FY2026 Estimated,General Fund,City Treasurer,Personal Services,2020631
FY2027 Proposed,General Fund,City Treasurer,Personal Services,2038723
FY2025 Actual,General Fund,City Treasurer,Purchase of Services,1623408
FY2026 Adopted,General Fund,City Treasurer,Purchase of Services,3351903
FY2026 Estimated,General Fund,City Treasurer,Purchase of Services,3351903
FY2027 Proposed,General Fund,City Treasurer,Purchase of Services,3301903
FY2025 Actual,General Fund,City Treasurer,"Materials, Supplies & Equip.",18122
FY2026 Adopted,General Fund,City Treasurer,"Materials, Supplies & Equip.",43724
FY2026 Estimated,General Fund,City Treasurer,"Materials, Supplies & Equip.",43724
FY2027 Proposed,General Fund,City Treasurer,"Materials, Supplies & Equip.",43724
FY2025 Actual,General Fund,Civil Service Commission,Personal Services,163334
FY2026 Adopted,General Fund,Civil Service Commission,Personal Services,188425
FY2026 Estimated,General Fund,Civil Service Commission,Personal Services,193736
FY2027 Proposed,General Fund,Civil Service Commission,Personal Services,196262
FY2025 Actual,General Fund,Civil Service Commission,Purchase of Services,29500
FY2026 Adopted,General Fund,Civil Service Commission,Purchase of Services,29500
FY2026 Estimated,General Fund,Civil Service Commission,Purchase of Services,29500
FY2027 Proposed,General Fund,Civil Service Commission,Purchase of Services,29500
FY2025 Actual,General Fund,Civil Service Commission,"Materials, Supplies & Equip.",0
FY2026 Adopted,General Fund,Civil Service Commission,"Materials, Supplies & Equip.",1094
FY2026 Estimated,General Fund,Civil Service Commission,"Materials, Supplies & Equip.",1094
FY2027 Proposed,General Fund,Civil Service Commission,"Materials, Supplies & Equip.",1094
FY2025 Actual,General Fund,Civil Service Commission,Advances and Other Misc. Payments,0
FY2026 Adopted,General Fund,Civil Service Commission,Advances and Other Misc. Payments,101577000
FY2026 Estimated,General Fund,Civil Service Commission,Advances and Other Misc. Payments,15508000
FY2027 Proposed,General Fund,Civil Service Commission,Advances and Other Misc. Payments,39309000
FY2025 Actual,General Fund,Commerce,Personal Services,5146082
FY2026 Adopted,General Fund,Commerce,Personal Services,7251854
FY2026 Estimated,General Fund,Commerce,Personal Services,7299966
FY2027 Proposed,General Fund,Commerce,Personal Services,7447173
FY2025 Actual,General Fund,Commerce,Purchase of Services,11074576
FY2026 Adopted,General Fund,Commerce,Purchase of Services,8574913
FY2026 Estimated,General Fund,Commerce,Purchase of Services,8574913
FY2027 Proposed,General Fund,Commerce,Purchase of Services,7981928
FY2025 Actual,General Fund,Commerce,"Materials, Supplies & Equip.",34027
FY2026 Adopted,General Fund,Commerce,"Materials, Supplies & Equip.",181654
FY2026 Estimated,General Fund,Commerce,"Materials, Supplies & Equip.",181654
FY2027 Proposed,General Fund,Commerce,"Materials, Supplies & Equip.",181654
FY2025 Actual,General Fund,Commerce,"Contrib., Indemnities & Taxes",1000000
FY2026 Adopted,General Fund,Commerce,"Contrib., Indemnities & Taxes",505000
FY2026 Estimated,General Fund,Commerce,"Contrib., Indemnities & Taxes",505000
FY2027 Proposed,General Fund,Commerce,"Contrib., Indemnities & Taxes",505000
FY2025 Actual,General Fund,Commerce-Convention Center Subsidy,Purchase of Services,15000000
FY2026 Adopted,General Fund,Commerce-Convention Center Subsidy,Purchase of Services,15000000
FY2026 Estimated,General Fund,Commerce-Convention Center Subsidy,Purchase of Services,15000000
FY2027 Proposed,General Fund,Commerce-Convention Center Subsidy,Purchase of Services,15000000
FY2025 Actual,General Fund,Commerce-Economic Stimulus,Purchase of Services,35004294
FY2026 Adopted,General Fund,Commerce-Economic Stimulus,Purchase of Services,101365294
FY2026 Estimated,General Fund,Commerce-Economic Stimulus,Purchase of Services,101365294
FY2027 Proposed,General Fund,Commerce-Economic Stimulus,Purchase of Services,90415294
FY2025 Actual,General Fund,District Attorney,Personal Services,53432721
FY2026 Adopted,General Fund,District Attorney,Personal Services,53718003
FY2026 Estimated,General Fund,District Attorney,Personal Services,54828664
FY2027 Proposed,General Fund,District Attorney,Personal Services,55408611
FY2025 Actual,General Fund,District Attorney,Purchase of Services,3254563
FY2026 Adopted,General Fund,District Attorney,Purchase of Services,4762186
FY2026 Estimated,General Fund,District Attorney,Purchase of Services,4762186
FY2027 Proposed,General Fund,District Attorney,Purchase of Services,3842186
FY2025 Actual,General Fund,District Attorney,"Materials, Supplies & Equip.",828631
FY2026 Adopted,General Fund,District Attorney,"Materials, Supplies & Equip.",832275
FY2026 Estimated,General Fund,District Attorney,"Materials, Supplies & Equip.",832275
FY2027 Proposed,General Fund,District Attorney,"Materials, Supplies & Equip.",832275
FY2025 Actual,General Fund,District Attorney,"Contrib., Indemnities & Taxes",183750
FY2026 Adopted,General Fund,District Attorney,"Contrib., Indemnities & Taxes",0
FY2026 Estimated,General Fund,District Attorney,"Contrib., Indemnities & Taxes",0
FY2027 Proposed,General Fund,District Attorney,"Contrib., Indemnities & Taxes",0
FY2025 Actual,General Fund,Finance,Personal Services,12150436
FY2026 Adopted,General Fund,Finance,Personal Services,19148552
FY2026 Estimated,General Fund,Finance,Personal Services,19510270
FY2027 Proposed,General Fund,Finance,Personal Services,17315813
FY2025 Actual,General Fund,Finance,Purchase of Services,2246542
FY2026 Adopted,General Fund,Finance,Purchase of Services,6719101
FY2026 Estimated,General Fund,Finance,Purchase of Services,6719101
FY2027 Proposed,General Fund,Finance,Purchase of Services,5770620
FY2025 Actual,General Fund,Finance,"Materials, Supplies & Equip.",45754
FY2026 Adopted,General Fund,Finance,"Materials, Supplies & Equip.",47024
FY2026 Estimated,General Fund,Finance,"Materials, Supplies & Equip.",47024
FY2027 Proposed,General Fund,Finance,"Materials, Supplies & Equip.",567024
FY2025 Actual,General Fund,Finance,"Contrib., Indemnities & Taxes",30564016
FY2026 Adopted,General Fund,Finance,"Contrib., Indemnities & Taxes",53746603
FY2026 Estimated,General Fund,Finance,"Contrib., Indemnities & Taxes",53746603
FY2027 Proposed,General Fund,Finance,"Contrib., Indemnities & Taxes",15008000
FY2025 Actual,General Fund,Finance,Payments to Other Funds,2925000
FY2026 Adopted,General Fund,Finance,Payments to Other Funds,2168061
FY2026 Estimated,General Fund,Finance,Payments to Other Funds,57168061
FY2027 Proposed,General Fund,Finance,Payments to Other Funds,2500000
FY2025 Actual,General Fund,Finance,Advances and Other Misc. Payments,0
FY2026 Adopted,General Fund,Finance,Advances and Other Misc. Payments,0
FY2026 Estimated,General Fund,Finance,Advances and Other Misc. Payments,91000000
FY2027 Proposed,General Fund,Finance,Advances and Other Misc. Payments,100
FY2025 Actual,General Fund,Finance-Budget Stabilization,Payments to Other Funds,58291000
FY2026 Adopted,General Fund,Finance-Budget Stabilization,Payments to Other Funds,58860000
FY2026 Estimated,General Fund,Finance-Budget Stabilization,Payments to Other Funds,58860000
FY2027 Proposed,General Fund,Finance-Budget Stabilization,Payments to Other Funds,52484000
FY2025 Actual,General Fund,Finance-Community College Subsidy,"Contrib., Indemnities & Taxes",56003181
FY2026 Adopted,General Fund,Finance-Community College Subsidy,"Contrib., Indemnities & Taxes",54003181
FY2026 Estimated,General Fund,Finance-Community College Subsidy,"Contrib., Indemnities & Taxes",54003181
FY2027 Proposed,General Fund,Finance-Community College Subsidy,"Contrib., Indemnities & Taxes",55853181
FY2025 Actual,General Fund,Finance-Employee Benefits,Pers. Svcs.-Emp.Benefits,1625686168
FY2026 Adopted,General Fund,Finance-Employee Benefits,Pers. Svcs.-Emp.Benefits,1745587635
FY2026 Estimated,General Fund,Finance-Employee Benefits,Pers. Svcs.-Emp.Benefits,1722866127
FY2027 Proposed,General Fund,Finance-Employee Benefits,Pers. Svcs.-Emp.Benefits,1821169058
FY2025 Actual,General Fund,Finance-Hero Scholarship Awards,"Contrib., Indemnities & Taxes",0
FY2026 Adopted,General Fund,Finance-Hero Scholarship Awards,"Contrib., Indemnities & Taxes",150000
FY2026 Estimated,General Fund,Finance-Hero Scholarship Awards,"Contrib., Indemnities & Taxes",150000
FY2027 Proposed,General Fund,Finance-Hero Scholarship Awards,"Contrib., Indemnities & Taxes",150000
FY2025 Actual,General Fund,Finance-Payment to Housing Trust Fund,Payments to Other Funds,31390926
FY2026 Adopted,General Fund,Finance-Payment to Housing Trust Fund,Payments to Other Funds,34044031
FY2026 Estimated,General Fund,Finance-Payment to Housing Trust Fund,Payments to Other Funds,34044031
FY2027 Proposed,General Fund,Finance-Payment to Housing Trust Fund,Payments to Other Funds,34668215
FY2025 Actual,General Fund,Finance-Indemnities,"Contrib., Indemnities & Taxes",0
FY2026 Adopted,General Fund,Finance-Indemnities,"Contrib., Indemnities & Taxes",61246000
FY2026 Estimated,General Fund,Finance-Indemnities,"Contrib., Indemnities & Taxes",61246000
FY2027 Proposed,General Fund,Finance-Indemnities,"Contrib., Indemnities & Taxes",61278421
FY2025 Actual,General Fund,Finance-Reg #32,Personal Services,13509960
FY2026 Adopted,General Fund,Finance-Reg #32,Personal Services,12200000
FY2026 Estimated,General Fund,Finance-Reg #32,Personal Services,9200000
FY2027 Proposed,General Fund,Finance-Reg #32,Personal Services,8000000
FY2025 Actual,General Fund,Finance-Refunds,"Contrib., Indemnities & Taxes",33220
FY2026 Adopted,General Fund,Finance-Refunds,"Contrib., Indemnities & Taxes",250000
FY2026 Estimated,General Fund,Finance-Refunds,"Contrib., Indemnities & Taxes",250000
FY2027 Proposed,General Fund,Finance-Refunds,"Contrib., Indemnities & Taxes",250000
FY2025 Actual,General Fund,Finance-School District Contribution,"Contrib., Indemnities & Taxes",284052590
FY2026 Adopted,General Fund,Finance-School District Contribution,"Contrib., Indemnities & Taxes",284052590
FY2026 Estimated,General Fund,Finance-School District Contribution,"Contrib., Indemnities & Taxes",284052590
FY2027 Proposed,General Fund,Finance-School District Contribution,"Contrib., Indemnities & Taxes",284052590
FY2025 Actual,General Fund,Finance-Witness Fees,Purchase of Services,188549
FY2026 Adopted,General Fund,Finance-Witness Fees,Purchase of Services,260094
FY2026 Estimated,General Fund,Finance-Witness Fees,Purchase of Services,260094
