department,tag_peoples_budget,acute_care_hospital_fund,aviation_fund,budget_stabilization_fund,car_rental_tax_fund,community_development_fund,county_liquid_fuels_tax_fund,general_fund,grants_revenue_fund,healthchoices_behavioral_health_revenue_fund,hotel_room_rental_tax_fund,housing_trust_fund,municipal_pension_fund,philadelphia_county_demolition_fund,special_gasoline_tax_fund,water_fund,water_residual_fund,total
Public Property-SEPTA Subsidy,Public Transit,0,0,0,0,0,0,134989000,0,0,0,0,0,0,0,0,0,134989000
Public Property-Space Rentals,Government Operations,0,0,0,0,0,0,63130838,0,0,0,0,0,0,0,0,0,63130838
Public Property-Utilities,Government Operations,0,20000000,0,0,0,0,35959093,0,0,0,0,0,0,0,0,0,55959093
Records,Government Operations,0,0,0,0,0,0,4883640,0,0,0,0,0,0,0,0,0,4883640
Register of Wills,Government Operations,0,0,0,0,0,0,6029471,850000,0,0,0,0,0,0,0,0,6879471
Revenue,Government Operations,45000,0,0,0,0,0,33001889,22650000,0,0,0,0,0,0,21402515,0,77099404
Sanitation,Trash & Sanitation,0,0,0,0,0,0,124765259,9205509,0,0,0,0,0,2972488,0,0,136943256
Sanitation-Disposal,Trash & Sanitation,0,0,0,0,0,0,65275823,0,0,0,0,0,0,0,0,0,65275823
Sheriff,Courts & the Justice System,0,0,0,0,0,0,35657690,0,0,0,0,0,0,0,0,0,35657690
Sinking Fund Commission (Debt Service),Government Operations,0,161255892,0,8000000,0,0,430863877,0,0,0,8262986,16522000,0,0,290221887,0,915126642
Streets,Streets,0,0,0,0,0,12041000,0,62960200,0,0,0,0,0,36709512,0,0,111710712
Water,Government Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620814023,32994000,653808023
