fiscal_year,fund,department,tag_peoples_budget,class,total
2019,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",697049
2019,General Fund,Public Health,Public Health Centers,Payments to Other Funds,4500000
2019,General Fund,Public Property,Government Operations,Personal Services,8875590
2019,General Fund,Public Property,Government Operations,Purchase of Services,33313742
2019,General Fund,Public Property,Government Operations,"Materials, Supplies & Equip.",1025176
2019,General Fund,Public Property,Government Operations,"Contrib., Indemnities & Taxes",659401
2019,General Fund,Public Property,Government Operations,Payments to Other Funds,27678626
2019,General Fund,Public Property - SEPTA Subsidy,Government Operations,Purchase of Services,84608000
2019,General Fund,Public Property - Space Rentals,Government Operations,Purchase of Services,20912273
2019,General Fund,Public Property - Utilities,Government Operations,Purchase of Services,25108810
2019,General Fund,Records,Government Operations,Personal Services,2983490
2019,General Fund,Records,Government Operations,Purchase of Services,1164571
2019,General Fund,Records,Government Operations,"Materials, Supplies & Equip.",233688
2019,General Fund,Records,Government Operations,"Contrib., Indemnities & Taxes",0
2019,General Fund,Register of Wills,Government Operations,Personal Services,4262942
2019,General Fund,Register of Wills,Government Operations,Purchase of Services,82583
2019,General Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",23706
2019,General Fund,Revenue,Government Operations,Personal Services,22700386
2019,General Fund,Revenue,Government Operations,Purchase of Services,7706845
2019,General Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",887779
2019,General Fund,Revenue,Government Operations,"Contrib., Indemnities & Taxes",328357
2019,General Fund,Sheriff,Courts & the Justice System,Personal Services,27638571
2019,General Fund,Sheriff,Courts & the Justice System,Purchase of Services,613827
2019,General Fund,Sheriff,Courts & the Justice System,"Materials, Supplies & Equip.",650117
2019,General Fund,Sheriff,Courts & the Justice System,"Contrib., Indemnities & Taxes",250743
2019,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Purchase of Services,97208487
2019,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,159786966
2019,General Fund,Streets - Disposal,Government Operations,Purchase of Services,47536717
2019,General Fund,Streets,Streets,Personal Services,83603511
2019,General Fund,Streets,Streets,Purchase of Services,5988310
2019,General Fund,Streets,Streets,"Materials, Supplies & Equip.",7400620
2019,General Fund,Streets,Streets,"Contrib., Indemnities & Taxes",14942017
